id,symbol,current_price,market_cap,high_24h,low_24h,last_updated
bitcoin,btc,77613.0,1547415280689,77662.0,73908.0,2026-04-17T14:33:51.725Z
bitcoin,btc,78014.0,1560204126189,77928.0,73938.0,2026-04-17T14:54:08.433Z
bitcoin,btc,77862.0,1558578864057,78022.0,74045.0,2026-04-17T16:17:51.967Z
bitcoin,btc,77181.0,1544503698612,78240.0,74785.0,2026-04-18T06:18:09.529Z
bitcoin,btc,77100.0,1543274698621,78240.0,74785.0,2026-04-18T06:29:51.906Z
bitcoin,btc,77118.0,1543454012477,78240.0,74785.0,2026-04-18T06:34:51.584Z
bitcoin,btc,77126.0,1543454012477,78240.0,74785.0,2026-04-18T06:35:51.739Z
bitcoin,btc,77131.0,1544055610883,78240.0,74785.0,2026-04-18T06:38:53.061Z
bitcoin,btc,77127.0,1544034036406,78240.0,74837.0,2026-04-18T06:43:09.887Z
bitcoin,btc,77146.0,1544222767364,78240.0,74858.0,2026-04-18T06:45:53.221Z
bitcoin,btc,77159.0,1544222767364,78240.0,74858.0,2026-04-18T06:47:10.553Z
bitcoin,btc,77137.0,1544553117939,78240.0,74913.0,2026-04-18T06:51:27.095Z
